,ticker,name,first_available_year
0,XLE,Energy Select Sector SPDR Fund,1998
1,VDE,Vanguard Energy ETF,2004
2,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,2006
3,OIH,VanEck Oil Services ETF,2011
4,AMLP,Alerian MLP ETF,2010
5,ICLN,iShares Global Clean Energy ETF,2008
6,USO,United States Oil Fund LP,2006
7,IEO,iShares U.S. Oil & Gas Exploration & Production ETF,2006
8,IXC,iShares Global Energy ETF,2001
9,FENY,Fidelity MSCI Energy Index ETF,2013
10,TAN,Invesco Solar ETF,2008
11,UNG,United States Natural Gas Fund LP,2007
12,QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,2007
13,URA,Global X Uranium ETF,2010
14,FCG,First Trust Natural Gas ETF,2007
15,IEZ,iShares U.S. Oil Equipment & Services ETF,2006
16,PBW,Invesco WilderHill Clean Energy ETF,2005
17,AMJ,JPMorgan Alerian MLP Index ETN,2009
18,GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,2015
19,PXE,Invesco Dynamic Energy Exploration & Production ETF,2005
20,NLR,VanEck Uranium+Nuclear Energy ETF,2007
21,FAN,First Trust Global Wind Energy ETF,2008
22,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,2009
23,ERX,Direxion Daily Energy Bull 2X Shares,2008
24,MLPA,Global X MLP ETF,2012
25,ENFR,Alerian Energy Infrastructure ETF,2013
26,DBO,Invesco DB Oil Fund,2007
27,DBE,Invesco DB Energy Fund,2007
28,PBD,Invesco Global Clean Energy ETF,2007
29,PSCE,Invesco S&P SmallCap Energy ETF,2010
30,CNRG,SPDR S&P Kensho Clean Power ETF,2018
31,NRGU,MicroSectors U.S. Big Oil Index 3X Leveraged ETN,2019
32,LIT,Global X Lithium & Battery Tech ETF,2010
33,FILL,iShares MSCI Global Energy Producers ETF,2012
34,ACES,ALPS Clean Energy ETF,2018
35,PXI,Invesco DWA Energy Momentum ETF,2006
36,UCO,ProShares Ultra Bloomberg Crude Oil,2008
37,BOIL,ProShares Ultra Bloomberg Natural Gas,2011
38,UGA,United States Gasoline Fund LP,2008
39,DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,2015
40,FTXN,First Trust Nasdaq Oil & Gas ETF,2016
41,MLPX,Global X MLP & Energy Infrastructure ETF,2013
42,RYE,Invesco S&P 500 Equal Weight Energy ETF,2006
43,URNM,Sprott Uranium Miners ETF,2019
44,EMLP,First Trust North American Energy Infrastructure Fund,2012
45,KOLD,ProShares UltraShort Bloomberg Natural Gas,2011
46,DDG,ProShares Short Oil & Gas,2007
47,AMZA,InfraCap MLP ETF,2014
48,CRAK,VanEck Oil Refiners ETF,2015
49,DIG,ProShares Ultra Oil & Gas,2007
