,ticker,name,first_available_year
0,GLD,SPDR Gold Shares,2004
1,IAU,iShares Gold Trust,2005
2,SLV,iShares Silver Trust,2006
3,GDX,VanEck Gold Miners ETF,2006
4,PPLT,Aberdeen Standard Physical Platinum Shares ETF,2010
5,PALL,Aberdeen Standard Physical Palladium Shares ETF,2010
6,DBB,Invesco DB Base Metals Fund,2007
7,CPER,United States Copper Index Fund,2011
8,GLDM,SPDR Gold MiniShares Trust,2018
9,SGOL,Aberdeen Standard Physical Gold Shares ETF,2009
10,SIVR,Aberdeen Standard Physical Silver Shares ETF,2009
11,GDXJ,VanEck Junior Gold Miners ETF,2009
12,SIL,Global X Silver Miners ETF,2010
13,DBP,Invesco DB Precious Metals Fund,2007
14,JJC,iPath Series B Bloomberg Copper Subindex Total Return ETN,2018
15,LIT,Global X Lithium & Battery Tech ETF,2010
16,REMX,VanEck Rare Earth/Strategic Metals ETF,2010
17,SLX,VanEck Steel ETF,2006
18,URA,Global X Uranium ETF,2010
19,PICK,iShares MSCI Global Metals & Mining Producers ETF,2012
20,XME,SPDR S&P Metals & Mining ETF,2006
21,NLR,VanEck Uranium+Nuclear Energy ETF,2007
22,IAUM,iShares Gold Trust Micro,2021
23,SILJ,ETFMG Prime Junior Silver Miners ETF,2012
24,URNM,Sprott Uranium Miners ETF,2019
25,JNUG,Direxion Daily Junior Gold Miners Index Bull 2X Shares,2013
26,NUGT,Direxion Daily Gold Miners Index Bull 2X Shares,2010
27,USLV,VelocityShares 3x Long Silver ETN,2011
28,AGQ,ProShares Ultra Silver,2008
29,UGL,ProShares Ultra Gold,2008
30,IAU,iShares COMEX Gold Trust,2005
31,BAR,GraniteShares Gold Trust,2017
32,OUNZ,VanEck Merk Gold Trust,2014
33,GOAU,U.S. Global GO GOLD and Precious Metal Miners ETF,2017
34,RING,iShares MSCI Global Gold Miners ETF,2012
35,PSLV,Sprott Physical Silver Trust,2010
36,PHYS,Sprott Physical Gold Trust,2010
37,SPPP,Sprott Physical Platinum and Palladium Trust,2012
38,GLTR,Aberdeen Standard Physical Precious Metals Basket Shares ETF,2010
39,JJP,iPath Series B Bloomberg Precious Metals Subindex Total Return ETN,2018
40,JJT,iPath Series B Bloomberg Tin Subindex Total Return ETN,2018
41,JJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,2018
42,JJU,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,2018
43,LD,iPath Series B Bloomberg Lead Subindex Total Return ETN,2018
44,COPX,Global X Copper Miners ETF,2010
45,AIGI,WisdomTree Interest Rate Hedged High Yield Bond Fund,2016
46,BATT,Amplify Lithium & Battery Technology ETF,2018
47,DBS,Invesco DB Silver Fund,2007
48,DBA,Invesco DB Agriculture Fund,2007
49,USCI,United States Commodity Index Fund,2010
