,ticker,name,first_available_year
0,DBA,Invesco DB Agriculture Fund,2007
1,JO,iPath Bloomberg Coffee Subindex Total Return ETN,2008
2,CANE,Teucrium Sugar Fund,2011
3,NIB,iPath Bloomberg Cocoa Subindex Total Return ETN,2008
4,WEAT,Teucrium Wheat Fund,2011
5,CORN,Teucrium Corn Fund,2010
6,SOYB,Teucrium Soybean Fund,2010
7,RJA,Invesco DB Agriculture Fund,2007
8,TAGS,Teucrium Agricultural Fund,2012
9,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,2018
10,JJG,iPath Series B Bloomberg Grains Subindex Total Return ETN,2018
11,SGAR,iPath S&P GSCI Sugar Subindex Total Return ETN,2008
12,CTNN,iPath Series B Bloomberg Cotton Subindex Total Return ETN,2008
13,LUM,iPath Bloomberg Lumber Subindex Total Return ETN,2021
14,WOOD,iShares Global Timber & Forestry ETF,2008
15,CUT,InveSco MSCI Global Timber ETF,2008
16,SGG,iPath Pure Beta Softs ETN,2011
17,GRU,ELEMENTS Rogers International Commodity Index-Grains TR,2007
18,RJZ,ELEMENTS Rogers International Commodity Index-Agriculture TR,2007
19,UAG,DB Agriculture Double Long ETN,2008
20,DAG,DB Agriculture Double Short ETN,2008
21,ADZ,DB Agriculture Short ETN,2008
22,JJA,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,2018
23,AGF,DB Agriculture Fund,2011
24,WEET,iPath Pure Beta Grains ETN,2011
25,GRWN,VanEck Agribusiness ETF,2007
26,FUE,Teucrium Agricultural Strategy No K-1 ETF,2023
27,BRO,Teucrium Commodity Strategy No K-1 ETF,2023
28,COMB,GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF,2017
29,FTGC,First Trust Global Tactical Commodity Strategy Fund,2013
