,ticker,company_name,first_available_year
0,GOOGL,Alphabet Inc.,1998
1,META,Meta Platforms Inc.,2004
2,NFLX,Netflix Inc.,1997
3,T,AT&T Inc.,1983
4,TMUS,T-Mobile US Inc.,1994
5,VZ,Verizon Communications Inc.,1983
6,DIS,The Walt Disney Company,1923
7,CMCSA,Comcast Corporation,1963
8,CHTR,Charter Communications Inc.,1993
9,TCEHY,Tencent Holdings Limited,1998
10,BABA,Alibaba Group Holding Limited,1999
11,BIDU,Baidu Inc.,2000
12,NTDOY,Nintendo Co. Ltd.,1889
13,SPOT,Spotify Technology S.A.,2006
14,SNAP,Snap Inc.,2011
15,PINS,Pinterest Inc.,2010
16,ROKU,Roku Inc.,2002
17,WBD,Warner Bros. Discovery Inc.,2022
18,PARA,Paramount Global,2019
19,LYV,Live Nation Entertainment Inc.,2010
20,EA,Electronic Arts Inc.,1982
21,TTWO,Take-Two Interactive Software Inc.,1993
22,ZG,Zillow Group Inc.,2006
23,MTCH,Match Group Inc.,2009
24,IAC,IAC/InterActiveCorp,1995
25,OMC,Omnicom Group Inc.,1986
26,IPG,The Interpublic Group of Companies Inc.,1930
27,PUBGY,Publicis Groupe S.A.,1926
28,WPP,WPP plc,1985
29,DGE,Deutsche Telekom AG,1995
30,VOD,Vodafone Group Plc,1991
31,ORA,Orange S.A.,1988
32,TEF,Telefónica S.A.,1924
33,BCE,BCE Inc.,1970
34,TU,Telus Corporation,1990
35,RCI,Rogers Communications Inc.,1960
36,AMX,América Móvil S.A.B. de C.V.,2000
37,VEON,VEON Ltd.,2009
38,KDDIY,KDDI Corporation,1984
39,SFTBY,SoftBank Group Corp.,1981
40,DTE,Deutsche Telekom AG,1995
41,CHA,China Telecom Corporation Limited,2002
42,SKM,SK Telecom Co. Ltd.,1984
43,KT,KT Corporation,1981
44,LGT,Liberty Global plc,2005
45,LBTYA,Liberty Broadband Corporation,2014
46,CCO,Clear Channel Outdoor Holdings Inc.,1901
47,SIRI,Sirius XM Holdings Inc.,1990
48,FOXA,Fox Corporation,2019
49,NWSA,News Corp,2013
50,NYT,The New York Times Company,1851
51,GTN,Gray Television Inc.,1897
52,TGNA,TEGNA Inc.,2015
53,SBGI,Sinclair Broadcast Group Inc.,1986
54,EVC,Entravision Communications Corporation,1996
55,HST,Host Hotels & Resorts Inc.,1993
56,MAR,Marriott International Inc.,1927
57,HLT,Hilton Worldwide Holdings Inc.,1919
58,EXPE,Expedia Group Inc.,1996
59,BKNG,Booking Holdings Inc.,1997
60,TRIP,TripAdvisor Inc.,2000
61,CARG,CarGurus Inc.,2006
62,YELP,Yelp Inc.,2004
63,ANGI,Angi Inc.,1995
64,GRPN,Groupon Inc.,2008
65,ETSY,Etsy Inc.,2005
66,EBAY,eBay Inc.,1995
67,SHOP,Shopify Inc.,2006
68,MELI,MercadoLibre Inc.,1999
69,SE,Sea Limited,2009
70,CPNG,Coupang Inc.,2010
71,DASH,DoorDash Inc.,2013
72,UBER,Uber Technologies Inc.,2009
73,LYFT,Lyft Inc.,2012
74,ABNB,Airbnb Inc.,2008
75,ZG,Zillow Group Inc.,2004
76,TME,Tencent Music Entertainment Group,2016
77,DOYU,DouYu International Holdings Limited,2014
78,HUYA,HUYA Inc.,2014
79,IQ,iQIYI Inc.,2010
80,VIPS,Vipshop Holdings Limited,2008
81,JD,JD.com Inc.,1998
82,PDD,Pinduoduo Inc.,2015
83,BILI,Bilibili Inc.,2009
84,WB,Weibo Corporation,2009
85,MOMO,Momo Inc.,2011
86,SOHU,Sohu.com Limited,1996
87,NTES,NetEase Inc.,1997
88,GDS,GDS Holdings Limited,2001
89,VNET,Vnet Group Inc.,1999
