,ticker,company_name,first_available_year
0,AMZN,Amazon.com Inc.,1994
1,TSLA,Tesla Inc.,2003
2,HD,The Home Depot Inc.,1978
3,MCD,McDonald's Corporation,1940
4,NKE,NIKE Inc.,1964
5,SBUX,Starbucks Corporation,1971
6,LOW,Lowe's Companies Inc.,1946
7,BKNG,Booking Holdings Inc.,1996
8,TJX,The TJX Companies Inc.,1976
9,MAR,Marriott International Inc.,1927
10,CMG,Chipotle Mexican Grill Inc.,1993
11,HLT,Hilton Worldwide Holdings Inc.,1919
12,YUM,Yum! Brands Inc.,1997
13,ORLY,O'Reilly Automotive Inc.,1957
14,AZO,AutoZone Inc.,1979
15,ROST,Ross Stores Inc.,1982
16,LULU,Lululemon Athletica Inc.,1998
17,GM,General Motors Company,1908
18,F,Ford Motor Company,1903
19,SHEL,Shell plc,1907
20,RACE,Ferrari N.V.,1939
21,DRI,Darden Restaurants Inc.,1968
22,ULTA,Ulta Beauty Inc.,1990
23,TGT,Target Corporation,1902
24,DG,Dollar General Corporation,1939
25,DLTR,Dollar Tree Inc.,1986
26,BBY,Best Buy Co. Inc.,1966
27,KSS,Kohl's Corporation,1962
28,M,Macy's Inc.,1858
29,LB,L Brands Inc.,1963
30,ANF,Abercrombie & Fitch Co.,1892
31,AEO,American Eagle Outfitters Inc.,1977
32,URBN,Urban Outfitters Inc.,1970
33,FL,Foot Locker Inc.,1974
34,DKS,Dick's Sporting Goods Inc.,1948
35,CRI,Carter's Inc.,1865
36,VFC,V.F. Corporation,1899
37,LEVI,Levi Strauss & Co.,1853
38,PVH,PVH Corp.,1881
39,CPRI,Capri Holdings Limited,1981
40,TPR,Tapestry Inc.,1941
41,RL,Ralph Lauren Corporation,1967
42,HBI,Hanesbrands Inc.,1901
43,UAA,Under Armour Inc.,1996
44,COLM,Columbia Sportswear Company,1938
45,DECK,Deckers Outdoor Corporation,1973
46,SKX,Skechers U.S.A. Inc.,1992
47,CROX,Crocs Inc.,2002
48,GME,GameStop Corp.,1984
49,HAS,Hasbro Inc.,1923
50,MAT,Mattel Inc.,1945
51,WH,Wyndham Hotels & Resorts Inc.,2018
52,CCL,Carnival Corporation & plc,1972
53,RCL,Royal Caribbean Group,1968
54,NCLH,Norwegian Cruise Line Holdings Ltd.,1966
55,EXPE,Expedia Group Inc.,1996
56,TRIP,TripAdvisor Inc.,2000
57,WYNN,Wynn Resorts Limited,2002
58,LVS,Las Vegas Sands Corp.,1988
59,MGM,MGM Resorts International,1986
60,CZR,Caesars Entertainment Inc.,1937
61,PENN,PENN Entertainment Inc.,1972
62,DKNG,DraftKings Inc.,2012
63,PLNT,Planet Fitness Inc.,1992
64,SFIX,Stitch Fix Inc.,2011
65,CHWY,Chewy Inc.,2011
66,W,Wayfair Inc.,2002
67,RH,RH,1979
68,WSM,Williams-Sonoma Inc.,1956
69,BBWI,Bath & Body Works Inc.,1990
70,ETSY,Etsy Inc.,2005
71,EBAY,eBay Inc.,1995
72,CASY,Casey's General Stores Inc.,1959
73,TSCO,Tractor Supply Company,1938
74,POOL,Pool Corporation,1993
75,LEG,Leggett & Platt Incorporated,1883
76,MHK,Mohawk Industries Inc.,1878
77,WHR,Whirlpool Corporation,1911
78,LEN,Lennar Corporation,1954
79,DHI,D.R. Horton Inc.,1978
80,PHM,PulteGroup Inc.,1950
81,NVR,NVR Inc.,1980
82,TOL,Toll Brothers Inc.,1967
83,GRMN,Garmin Ltd.,1989
84,HOG,Harley-Davidson Inc.,1903
85,PII,Polaris Inc.,1954
86,BC,Brunswick Corporation,1845
87,THO,Thor Industries Inc.,1980
88,WGO,Winnebago Industries Inc.,1958
89,SNBR,Sleep Number Corporation,1987
90,LZB,La-Z-Boy Incorporated,1927
91,SCS,Steelcase Inc.,1912
92,BURL,Burlington Stores Inc.,1972
93,TJX,The TJX Companies Inc.,1987
94,PAG,Penske Automotive Group Inc.,1990
95,KMX,CarMax Inc.,1993
96,AN,AutoNation Inc.,1996
97,AAP,Advance Auto Parts Inc.,1932
98,GPC,Genuine Parts Company,1928
