,ticker,company_name,first_available_year
0,XOM,ExxonMobil Corporation,1999
1,CVX,Chevron Corporation,1879
2,SHEL,Shell plc,1907
3,TTE,TotalEnergies SE,1924
4,COP,ConocoPhillips,2002
5,BP,BP p.l.c.,1909
6,EQNR,Equinor ASA,1972
7,PBR,Petrobras,1953
8,ENB,Enbridge Inc.,1949
9,TRP,TC Energy Corporation,1951
10,E,Eni S.p.A.,1953
11,SLB,Schlumberger Limited,1926
12,EPD,Enterprise Products Partners L.P.,1968
13,CNQ,Canadian Natural Resources Limited,1973
14,EOG,EOG Resources Inc.,1985
15,WMB,The Williams Companies Inc.,1908
16,MPC,Marathon Petroleum Corporation,1887
17,VLO,Valero Energy Corporation,1980
18,PSX,Phillips 66,2012
19,OXY,Occidental Petroleum Corporation,1920
20,KMI,Kinder Morgan Inc.,1997
21,SU,Suncor Energy Inc.,1919
22,HES,Hess Corporation,1933
23,DVN,Devon Energy Corporation,1971
24,OKE,ONEOK Inc.,1906
25,WDS,Woodside Energy Group Ltd,1954
26,HAL,Halliburton Company,1919
27,BKR,Baker Hughes Company,1987
28,FANG,Diamondback Energy Inc.,2007
29,ET,Energy Transfer LP,1995
30,MPLX,MPLX LP,2012
31,TRGP,Targa Resources Corp.,2005
32,CTRA,Coterra Energy Inc.,2021
33,APA,APA Corporation,1954
34,FTI,TechnipFMC plc,2017
35,OIH,VanEck Oil Services ETF,2011
36,RIG,Transocean Ltd.,1953
37,NOV,NOV Inc.,1862
38,HP,Helmerich & Payne Inc.,1920
39,NBR,Nabors Industries Ltd.,1952
40,PTEN,Patterson-UTI Energy Inc.,1978
41,WHD,Cactus Inc.,2011
42,LBRT,Liberty Energy Inc.,2011
43,RES,RPC Inc.,1984
44,PUMP,ProPetro Holding Corp.,2005
45,OIS,Oceaneering International Inc.,1964
46,BTU,Peabody Energy Corporation,1883
47,METC,Ramaco Resources Inc.,2015
48,ARLP,Alliance Resource Partners L.P.,1971
49,NRP,Natural Resource Partners L.P.,2002
50,SXC,SunCoke Energy Inc.,2011
51,HNRG,Hallador Energy Company,1949
52,YPF,YPF Sociedad Anónima,1922
53,EC,Ecopetrol S.A.,1951
54,CVE,Cenovus Energy Inc.,2009
55,IMO,Imperial Oil Limited,1880
56,TOU,Tourmaline Oil Corp.,2008
57,MEG,MEG Energy Corp.,1999
58,WCP,Whitecap Resources Inc.,2009
59,PBA,Pembina Pipeline Corporation,1954
60,KEY,Keyera Corp.,1998
61,GEI,Gibson Energy Inc.,1953
62,IPL,Inter Pipeline Ltd.,1997
63,PAA,Plains All American Pipeline L.P.,1998
64,GEL,Genesis Energy L.P.,1996
65,SUN,Sunoco LP,1886
66,DK,Delek US Holdings Inc.,2001
67,PBF,PBF Energy Inc.,2008
68,CVI,CVR Energy Inc.,1906
69,DKL,Delek Logistics Partners LP,2012
70,CAPL,CrossAmerica Partners LP,1992
71,GPRE,Green Plains Inc.,2004
72,RBC,RBC Bearings Incorporated,1919
73,NEE,NextEra Energy Inc.,1925
74,SO,The Southern Company,1945
75,DUK,Duke Energy Corporation,1904
76,AEP,American Electric Power Company Inc.,1906
77,D,Dominion Energy Inc.,1983
78,SRE,Sempra Energy,1998
79,EXC,Exelon Corporation,2000
80,ED,Consolidated Edison Inc.,1823
81,PEG,Public Service Enterprise Group Incorporated,1985
82,XEL,Xcel Energy Inc.,1909
