,ticker,company_name,first_available_year
0,JPM,JPMorgan Chase & Co.,2000
1,BRK-B,Berkshire Hathaway Inc.,1839
2,V,Visa Inc.,1958
3,MA,Mastercard Incorporated,1966
4,BAC,Bank of America Corporation,1998
5,WFC,Wells Fargo & Company,1852
6,MS,Morgan Stanley,1935
7,GS,The Goldman Sachs Group Inc.,1869
8,C,Citigroup Inc.,1998
9,AXP,American Express Company,1850
10,SPGI,S&P Global Inc.,1917
11,MCO,Moody's Corporation,1909
12,BLK,BlackRock Inc.,1988
13,SCHW,The Charles Schwab Corporation,1971
14,PYPL,PayPal Holdings Inc.,1998
15,PGR,The Progressive Corporation,1937
16,MET,MetLife Inc.,1868
17,PRU,Prudential Financial Inc.,1875
18,AIG,American International Group Inc.,1919
19,TRV,The Travelers Companies Inc.,1853
20,CB,Chubb Limited,1985
21,ALL,The Allstate Corporation,1931
22,AFL,Aflac Incorporated,1955
23,CME,CME Group Inc.,2007
24,ICE,Intercontinental Exchange Inc.,2000
25,COF,Capital One Financial Corporation,1994
26,USB,U.S. Bancorp,1863
27,PNC,The PNC Financial Services Group Inc.,1983
28,TFC,Truist Financial Corporation,2019
29,BK,The Bank of New York Mellon Corporation,2007
30,STT,State Street Corporation,1792
31,AON,Aon plc,1982
32,MMC,Marsh & McLennan Companies Inc.,1905
33,AJG,Arthur J. Gallagher & Co.,1927
34,AMP,Ameriprise Financial Inc.,1894
35,SYF,Synchrony Financial,2003
36,IVZ,Invesco Ltd.,1935
37,BEN,Franklin Resources Inc.,1947
38,TROW,T. Rowe Price Group Inc.,1937
39,NTRS,Northern Trust Corporation,1889
40,RY,Royal Bank of Canada,1864
41,TD,The Toronto-Dominion Bank,1955
42,BNS,The Bank of Nova Scotia,1832
43,BMO,Bank of Montreal,1817
44,CM,Canadian Imperial Bank of Commerce,1961
45,UBS,UBS Group AG,1998
46,DB,Deutsche Bank AG,1870
47,BCS,Barclays PLC,1896
48,LYG,Lloyds Banking Group plc,2009
49,HSBC,HSBC Holdings plc,1865
50,SAN,Banco Santander S.A.,1857
51,BBVA,Banco Bilbao Vizcaya Argentaria S.A.,1857
52,ING,ING Groep N.V.,1991
53,PUK,Prudential plc,1848
54,MFC,Manulife Financial Corporation,1887
55,SLF,Sun Life Financial Inc.,1865
56,BAM,Brookfield Asset Management Ltd.,1899
57,KKR,KKR & Co. Inc.,1976
58,APO,Apollo Global Management Inc.,1990
59,BX,The Blackstone Group Inc.,1985
60,CG,The Carlyle Group Inc.,1987
61,FIGS,FIGS Inc.,2013
62,L,Loews Corporation,1946
63,CINF,Cincinnati Financial Corporation,1950
64,HIG,The Hartford Financial Services Group Inc.,1810
65,LNC,Lincoln National Corporation,1905
66,UNM,Unum Group,1848
67,RNR,RenaissanceRe Holdings Ltd.,1993
68,WRB,W. R. Berkley Corporation,1967
69,MKL,Markel Corporation,1930
70,ACGL,Arch Capital Group Ltd.,2001
71,AGL,Aegon N.V.,1983
72,ZURVY,Zurich Insurance Group AG,1872
73,HDB,HDFC Bank Limited,1994
74,IBN,ICICI Bank Limited,1994
75,MFG,Mizuho Financial Group Inc.,2001
76,SMFG,Sumitomo Mitsui Financial Group Inc.,2002
77,MUFG,Mitsubishi UFJ Financial Group Inc.,2005
78,NDAQ,Nasdaq Inc.,1971
79,MKTX,MarketAxess Holdings Inc.,2000
80,TRU,TransUnion,1968
81,EFC,Ellington Financial Inc.,2007
82,FDS,FactSet Research Systems Inc.,1978
83,CBOE,Cboe Global Markets Inc.,1973
84,IBKR,Interactive Brokers Group Inc.,1978
85,RJF,Raymond James Financial Inc.,1962
86,LPL,LPL Financial Holdings Inc.,1989
87,SEIC,SEI Investments Company,1968
88,WDS,Woodside Energy Group Ltd,1954
89,FFIN,First Financial Bankshares Inc.,1963
90,KEY,KeyCorp,1849
91,HBAN,Huntington Bancshares Incorporated,1866
92,RF,Regions Financial Corporation,1971
93,FITB,Fifth Third Bancorp,1858
94,ZION,Zions Bancorporation National Association,1873
