,ticker,company_name,first_available_year
0,CAT,Caterpillar Inc.,1925
1,UNP,Union Pacific Corporation,1862
2,UPS,United Parcel Service Inc.,1907
3,RTX,RTX Corporation,1934
4,HON,Honeywell International Inc.,1906
5,BA,The Boeing Company,1916
6,LMT,Lockheed Martin Corporation,1995
7,DE,Deere & Company,1837
8,GE,General Electric Company,1892
9,ADP,Automatic Data Processing Inc.,1949
10,ETN,Eaton Corporation plc,1911
11,MMM,3M Company,1902
12,ITW,Illinois Tool Works Inc.,1912
13,WM,Waste Management Inc.,1968
14,NSC,Norfolk Southern Corporation,1980
15,CSX,CSX Corporation,1980
16,FDX,FedEx Corporation,1971
17,GD,General Dynamics Corporation,1899
18,NOC,Northrop Grumman Corporation,1994
19,PH,Parker-Hannifin Corporation,1917
20,EMR,Emerson Electric Co.,1890
21,ROP,Roper Technologies Inc.,1981
22,JCI,Johnson Controls International plc,1885
23,TT,Trane Technologies plc,2020
24,CARR,Carrier Global Corporation,2020
25,OTIS,Otis Worldwide Corporation,2020
26,CMI,Cummins Inc.,1919
27,PCAR,PACCAR Inc,1905
28,RSG,Republic Services Inc.,1996
29,CTAS,Cintas Corporation,1968
30,GWW,W.W. Grainger Inc.,1927
31,PAYX,Paychex Inc.,1971
32,VRSK,Verisk Analytics Inc.,1971
33,FAST,Fastenal Company,1967
34,AAL,American Airlines Group Inc.,1930
35,DAL,Delta Air Lines Inc.,1925
36,UAL,United Airlines Holdings Inc.,1968
37,LUV,Southwest Airlines Co.,1967
38,JBHT,J.B. Hunt Transport Services Inc.,1961
39,ODFL,Old Dominion Freight Line Inc.,1934
40,CHRW,C.H. Robinson Worldwide Inc.,1905
41,EXPD,Expeditors International of Washington Inc.,1979
42,AOS,A. O. Smith Corporation,1874
43,IR,Ingersoll Rand Inc.,1871
44,HWM,Howmet Aerospace Inc.,2020
45,TDG,TransDigm Group Incorporated,1993
46,LHX,L3Harris Technologies Inc.,2019
47,HII,Huntington Ingalls Industries Inc.,2011
48,TXT,Textron Inc.,1923
49,TDY,Teledyne Technologies Incorporated,1960
50,LDOS,Leidos Holdings Inc.,1969
51,BAH,Booz Allen Hamilton Holding Corporation,1914
52,XYL,Xylem Inc.,2011
53,DOV,Dover Corporation,1955
54,IEX,IDEX Corporation,1988
55,GFL,GFL Environmental Inc.,2007
56,WCN,Waste Connections Inc.,1997
57,HUBB,Hubbell Incorporated,1888
58,AWI,Armstrong World Industries Inc.,1860
59,MAS,Masco Corporation,1929
60,SNA,Snap-on Incorporated,1920
61,SWK,Stanley Black & Decker Inc.,1843
62,ALLE,Allegion plc,2013
63,GNRC,Generac Holdings Inc.,1959
64,ROK,Rockwell Automation Inc.,1903
65,AME,AMETEK Inc.,1930
66,FLS,Flowserve Corporation,1997
67,NDSN,Nordson Corporation,1954
68,PNR,Pentair plc,1966
69,PWR,Quanta Services Inc.,1997
70,TRI,Thomson Reuters Corporation,2008
71,TTC,The Toro Company,1914
72,WAB,Wabtec Corporation,1999
73,FLR,Fluor Corporation,1912
74,J,Jacobs Solutions Inc.,1947
75,ACM,AECOM,1990
76,KBR,KBR Inc.,1998
77,AVY,Avery Dennison Corporation,1935
78,SIRI,Sirius XM Holdings Inc.,1990
79,MAN,ManpowerGroup Inc.,1948
80,R,Ryder System Inc.,1933
81,CAR,Avis Budget Group Inc.,1946
82,HTZ,Hertz Global Holdings Inc.,1918
83,URI,United Rentals Inc.,1997
84,HRI,Herc Holdings Inc.,1965
85,MTN,Vail Resorts Inc.,1997
86,SNA,Snap-on Incorporated,1920
87,GATX,GATX Corporation,1898
88,TRN,Trinity Industries Inc.,1933
89,GBX,The Greenbrier Companies Inc.,1981
90,CSGP,CoStar Group Inc.,1987
91,FTV,Fortive Corporation,2016
92,EFX,Equifax Inc.,1899
93,RBA,RB Global Inc.,1958
94,SITE,SiteOne Landscape Supply Inc.,2001
95,CPA,Copa Holdings S.A.,1947
96,ALK,Alaska Air Group Inc.,1985
97,JBLU,JetBlue Airways Corporation,1998
98,SKYW,SkyWest Inc.,1972
