,ticker,company_name,first_available_year
0,LIN,Linde plc,1879
1,APD,Air Products and Chemicals Inc.,1940
2,SHW,Sherwin-Williams Company,1866
3,ECL,Ecolab Inc.,1923
4,DOW,Dow Inc.,2019
5,DD,DuPont de Nemours Inc.,2019
6,BHP,BHP Group Limited,1885
7,RIO,Rio Tinto Group,1873
8,VALE,Vale S.A.,1942
9,FCX,Freeport-McMoRan Inc.,1912
10,NEM,Newmont Corporation,1921
11,SCCO,Southern Copper Corporation,1952
12,CTVA,Corteva Inc.,2019
13,LYB,LyondellBasell Industries N.V.,2007
14,PPG,PPG Industries Inc.,1883
15,NUE,Nucor Corporation,1940
16,FMC,FMC Corporation,1883
17,ALB,Albemarle Corporation,1994
18,CF,CF Industries Holdings Inc.,1946
19,MOS,The Mosaic Company,2004
20,IP,International Paper Company,1898
21,PKG,Packaging Corporation of America,1959
22,MLM,Martin Marietta Materials Inc.,1993
23,VMC,Vulcan Materials Company,1909
24,STLD,Steel Dynamics Inc.,1993
25,AA,Alcoa Corporation,2016
26,CRH,CRH plc,1970
27,EMN,Eastman Chemical Company,1920
28,CE,Celanese Corporation,1918
29,HUN,Huntsman Corporation,1970
30,OLN,Olin Corporation,1892
31,RPM,RPM International Inc.,1947
32,MT,ArcelorMittal,2006
33,CLF,Cleveland-Cliffs Inc.,1847
34,X,United States Steel Corporation,1901
35,RS,Reliance Steel & Aluminum Co.,1939
36,AG,First Majestic Silver Corp.,2002
37,PAAS,Pan American Silver Corp.,1994
38,AEM,Agnico Eagle Mines Limited,1953
39,FNV,Franco-Nevada Corporation,2007
40,WPM,Wheaton Precious Metals Corp.,2004
41,RGLD,Royal Gold Inc.,1981
42,TECK,Teck Resources Limited,1913
43,SQM,Sociedad Química y Minera de Chile S.A.,1968
44,IFF,International Flavors & Fragrances Inc.,1833
45,GFI,Gold Fields Limited,1887
46,AU,AngloGold Ashanti Limited,1998
47,SBSW,Sibanye Stillwater Limited,2013
48,KGC,Kinross Gold Corporation,1993
49,IAG,IAMGOLD Corporation,1990
50,HMY,Harmony Gold Mining Company Limited,1950
51,CDE,Coeur Mining Inc.,1928
52,HL,Hecla Mining Company,1891
53,SMG,The Scotts Miracle-Gro Company,1868
54,CCK,Crown Holdings Inc.,1892
55,AMCR,Amcor plc,1860
56,SEE,Sealed Air Corporation,1960
57,AVY,Avery Dennison Corporation,1935
58,SON,Sonoco Products Company,1899
59,GPK,Graphic Packaging Holding Company,2007
60,ATR,AptarGroup Inc.,1992
61,OI,O-I Glass Inc.,1903
62,EXP,Eagle Materials Inc.,1964
63,USG,USG Corporation,1901
64,CX,Cemex S.A.B. de C.V.,1906
65,WY,Weyerhaeuser Company,1900
66,UFPI,UFP Industries Inc.,1955
67,LPX,Louisiana-Pacific Corporation,1973
68,TREX,Trex Company Inc.,1996
69,AZEK,The AZEK Company Inc.,2013
70,AXTA,Axalta Coating Systems Ltd.,2013
71,WLK,Westlake Corporation,1986
72,CC,The Chemours Company,2015
73,KWR,Quaker Houghton,1865
74,FUL,H.B. Fuller Company,1887
75,NEU,NewMarket Corporation,1887
76,KALU,Kaiser Aluminum Corporation,1946
77,CENX,Century Aluminum Company,1995
78,ASH,Ashland Inc.,1924
79,CMP,Compass Minerals International Inc.,1993
80,TROX,Tronox Holdings plc,2012
81,NG,NovaGold Resources Inc.,1984
82,SA,Seabridge Gold Inc.,1999
83,GGB,Gerdau S.A.,1901
84,SID,Companhia Siderúrgica Nacional,1941
85,TX,Ternium S.A.,2005
86,PKX,POSCO Holdings Inc.,1968
