,ticker,company_name,first_available_year
0,PLD,Prologis Inc.,1983
1,AMT,American Tower Corporation,1995
2,EQIX,Equinix Inc.,1998
3,CCI,Crown Castle Inc.,1994
4,SPG,Simon Property Group Inc.,1993
5,PSA,Public Storage,1972
6,O,Realty Income Corporation,1969
7,DLR,Digital Realty Trust Inc.,2004
8,WELL,Welltower Inc.,1970
9,AVB,AvalonBay Communities Inc.,1993
10,EQR,Equity Residential,1969
11,VICI,VICI Properties Inc.,2017
12,ARE,Alexandria Real Estate Equities Inc.,1994
13,SBAC,SBA Communications Corporation,1989
14,CPT,Camden Property Trust,1982
15,MAA,Mid-America Apartment Communities Inc.,1977
16,INVH,Invitation Homes Inc.,2012
17,VTR,Ventas Inc.,1983
18,WY,Weyerhaeuser Company,1900
19,CBRE,CBRE Group Inc.,1906
20,EXR,Extra Space Storage Inc.,1977
21,ESS,Essex Property Trust Inc.,1971
22,IRM,Iron Mountain Incorporated,1951
23,BXP,Boston Properties Inc.,1970
24,UDR,UDR Inc.,1972
25,FRT,Federal Realty Investment Trust,1962
26,REG,Regency Centers Corporation,1963
27,KIM,Kimco Realty Corporation,1958
28,ADC,Agree Realty Corporation,1994
29,DOC,Healthpeak Properties Inc.,1985
30,ELS,Equity LifeStyle Properties Inc.,1969
31,SUI,Sun Communities Inc.,1975
32,HST,Host Hotels & Resorts Inc.,1993
33,VNO,Vornado Realty Trust,1982
34,DEA,Easterly Government Properties Inc.,2014
35,MPW,Medical Properties Trust Inc.,2003
36,NNN,NNN REIT Inc.,1984
37,WPC,W. P. Carey Inc.,1973
38,STAG,STAG Industrial Inc.,2010
39,GLPI,Gaming and Leisure Properties Inc.,2013
40,MAC,The Macerich Company,1972
41,SLG,SL Green Realty Corp.,1997
42,OHI,Omega Healthcare Investors Inc.,1992
43,KRC,Kilroy Realty Corporation,1947
44,DEI,Douglas Emmett Inc.,1971
45,HPP,Hudson Pacific Properties Inc.,2006
46,CUBE,CubeSmart,1999
47,NSA,National Storage Affiliates Trust,2013
48,FR,First Industrial Realty Trust Inc.,1993
49,EGP,EastGroup Properties Inc.,1969
50,REX,REX American Resources Corporation,1980
51,TRNO,Terreno Realty Corporation,2009
52,GOOD,Gladstone Commercial Corporation,2003
53,LAND,Gladstone Land Corporation,1997
54,LTC,LTC Properties Inc.,1992
55,NHI,National Health Investors Inc.,1991
56,GEO,The GEO Group Inc.,1984
57,CXW,CoreCivic Inc.,1983
58,IRT,Independence Realty Trust Inc.,2009
59,IIPR,Innovative Industrial Properties Inc.,2016
60,BRX,Brixmor Property Group Inc.,2011
61,AAT,American Assets Trust Inc.,2011
62,CSR,Centerspace,1970
63,UE,Urban Edge Properties,2014
64,AKR,Acadia Realty Trust,1998
65,BFS,Saul Centers Inc.,1993
66,WSR,Whitestone REIT,1998
67,HIW,Highwoods Properties Inc.,1978
68,PGRE,Paramount Group Inc.,2014
69,CUZ,Cousins Properties Incorporated,1958
70,BDN,Brandywine Realty Trust,1994
71,PBY,Prologis Inc.,1983
72,FSP,Franklin Street Properties Corp.,1997
73,ESRT,Empire State Realty Trust Inc.,2013
74,AIV,Apartment Investment and Management Company,1975
75,CBL,CBL & Associates Properties Inc.,1978
76,SPG,Simon Property Group Inc.,1960
77,CLPR,Clipper Realty Inc.,2015
